Day 13, Spring 0, Egg 0, Sausage 0, Jelly 0, Pastry 0, Outages 4
Day 14, Spring 45, Egg 35, Sausage 39, Jelly 39, Pastry 44, Outages 0
Day 15, Spring 21, Egg 10, Sausage 21, Jelly 15, Pastry 17, Outages 0
Day 16, Spring 5, Egg 0, Sausage 3, Jelly 4, Pastry 1, Outages 3
Day 17, Spring 0, Egg 15, Sausage 0, Jelly 0, Pastry 0, Outages 11
Day 18, Spring 34, Egg 3, Sausage 44, Jelly 40, Pastry 32, Outages 1
Day 19, Spring 27, Egg 0, Sausage 37, Jelly 38, Pastry 25, Outages 3
Day 20, Spring 10, Egg 35, Sausage 20, Jelly 17, Pastry 4, Outages 2
Day 21, Spring 8, Egg 24, Sausage 11, Jelly 7, Pastry 0, Outages 7
Day 22, Spring 5, Egg 17, Sausage 4, Jelly 3, Pastry 53, Outages 2
Day 23, Spring 0, Egg 8, Sausage 0, Jelly 2, Pastry 47, Outages 7
Day 24, Spring 44, Egg 3, Sausage 53, Jelly 0, Pastry 35, Outages 8
Day 25, Spring 35, Egg 0, Sausage 44, Jelly 55, Pastry 28, Outages 7
Day 26, Spring 9, Egg 34, Sausage 14, Jelly 26, Pastry 2, Outages 1
Day 27, Spring 4, Egg 26, Sausage 3, Jelly 16, Pastry 0, Outages 8
Day 28, Spring 4, Egg 20, Sausage 1, Jelly 9, Pastry 52, Outages 3
Day 29, Spring 0, Egg 8, Sausage 0, Jelly 0, Pastry 43, Outages 11
Day 30, Spring 57, Egg 8, Sausage 49, Jelly 48, Pastry 35, Outages 3
